Genes	Diseases	Mutations	Chemicals	Species	PMID
HOXA>3197	urothelial carcinoma>MESH:D014523,Urothelial carcinoma of the bladder>MESH:D001749,malignancy>MESH:D009369,tumor>MESH:D009369,cancer>MESH:D009369,tumors>MESH:D009369			patient>9606	25810763
	traumatic brain injury>MESH:D001930,brain injury>MESH:D001927			patients>9606,children>9606	25809391
epidermal growth factor receptor>1956,EGFR>1956,ERBB3>2065	cancer>MESH:D009369,tumor>MESH:D009369,lung cancer>MESH:D008175,non-small cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,tumors>MESH:D009369		tyrosine>No Data,erlotinib>MESH:C400278	patients>9606	25806328
	tympanomastoidectomy>No Data,Tympanomastoidectomy>No Data			children>9606,patient>9606,Children>9606	25805641
p53>7157	tumor>MESH:D009369,neck squamous cell carcinoma>MESH:C535575,Intra-tumor>MESH:D009369,intra-tumor>MESH:D009369			patient>9606	25804377
	disorders of consciousness>MESH:D003244,brain injury>MESH:D001927			patients>9606,patient>9606	25804248
	solid tumors>MESH:D009369,cancer>MESH:D009369,tumors>MESH:D009369,tumor>MESH:D009369		formalin>MESH:D005557,paraffin>MESH:D010232	patients>9606,patient>9606	25801821
	aneuploidies>MESH:D000782		NIPT>MESH:C042494	women>9606,Participants>9606,patients>9606	25800864
	HIV>MESH:D015658		POC>MESH:C403184	patient>9606	25795042
MOCA>1795				patient>9606,Patient>9606,patients>9606,Participants>9606	25792177
	multiple disorders>MESH:D009105			patient>9606,participants>9606,patients>9606	25790929
HER2>2064,pN1>5270	breast cancer>MESH:D001943,tumors>MESH:D009369,hypertension>MESH:D006973,osteoporosis>MESH:D010024,osteoarthritis>MESH:D010003,type-2 diabetes>MESH:D003924			women>9606,patients>9606	25789420
	myeloid sarcoma>MESH:D023981				25787914
TP53>7157,SMAD4>4089,PIK3CA>5290,TOP2A>7153,SPARC>6678,ERCC1>2067,RRM1>6240,MGMT>4255,HER2>2064	esophageal carcinoma>MESH:D004938,gastric cancers>MESH:D013274,gastroesophageal cancer>MESH:D009369,esophageal cancer>MESH:D004938,APC>MESH:D011125,tumor>MESH:D009369,gastric adenocarcinoma>MESH:D013274,esophageal cancers>MESH:D004938		epirubicin>MESH:D015251,irinotecan>MESH:C051890,paclitaxel>MESH:D017239,platinum>MESH:D010984,gemcitabine>MESH:C056507,5FU>MESH:D005472,capecitabine>MESH:C110904,temozolomide>MESH:C047246,cisplatin>MESH:D002945	patients>9606	25778705
	rural retention bonus>MESH:D016055		MoPH>MESH:D008982,DCE>MESH:C525762		25774374
BRAF>673,NRAS>4893,KIT>3815,RET>5979,TP53>7157,CDKN2A>1029,SMAD4>4089,PIK3CA>5290,FGFR2>2263,ERBB2>2064,GNAQ>2776,GNA11>2767	desmoplastic malignant melanoma>MESH:D008545,Desmoplastic malignant melanoma>MESH:D008545,melanoma>MESH:D008545,metastases>MESH:D009362,desmoplastic melanoma>MESH:D008545,desmoplastic melanomas>MESH:D008545,tumor>MESH:D009369,cutaneous malignant melanomas>MESH:C562393,desmoplastic malignant melanomas>MESH:D008545,uveal melanomas>MESH:C536494				25769001
	Tuberculosis>MESH:D014376			M. tuberculosis>1773,patient>9606	25765106
	non-trauma>MESH:D014947,trauma>MESH:D014947,headache>MESH:D006261,syncope>MESH:D013575,dizziness>MESH:D004244,neurologic deficit>MESH:D009461,nausea>MESH:D009325,vomiting>MESH:D014839,malignancy>MESH:D009369,coagulopathy>MESH:D001778,focal neurologic deficit>MESH:D009461,simple>MESH:D005902			patients>9606	25763568
epidermal growth factor receptor>1956,EGFR>1956	non-small cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,NSCLC cohort>MESH:D002289		erlotinib>MESH:C400278	patient>9606,participants>9606,patients>9606	25760241
				PARTICIPANTS>9606	25758443
EGFR>1956,ALK>238,RET>5979,ROS1>6098,PTEN>5728,LKB1>6794	lung adenocarcinoma>MESH:C538231,lung adenocarcinomas>MESH:C538231,tumor>MESH:D009369				25753527
				women>9606	25748929
	malaria>MESH:D008288			Patients>9606,children>9606	25748110
	tumour>MESH:D009369,tumorogenesis>MESH:D002471				25744270
	lung>MESH:D008171,sleep diseases>MESH:D012893				25743324
	cancer>MESH:D009369,MPS>MESH:D009084,tumours>MESH:D009369,Cancer>MESH:D009369,tumour>MESH:D009369,breast carcinoma>MESH:D001943,colorectal adenocarcinoma>MESH:D015179,lung adenocarcinoma and head and neck squamous cell carcinoma>MESH:C535575		formalin>MESH:D005557	patients>9606	25742471
				patient>9606,patients>9606,participants>9606	25741865
	Act injury>MESH:D014947		SOH>MESH:C100870		25741609
				women>9606,participants>9606,children>9606	25739160
				people>9606,participants>9606,Patients>9606,patients>9606	25735479
	Malaria parasites>MESH:D008288,malaria>MESH:D008288			human>9606	25733556
TGFbeta1>21803	cancer>MESH:D009369,cancers>MESH:D009369,Lewis lung cancer>MESH:D008175,tumor>MESH:D009369			mice>10090	25732382
	cancer>MESH:D009369,implementation science in cancer>MESH:D009369,implementation of cancer>MESH:D009369,emerging implementation science opportunities>MESH:D004630			patient>9606	25730726
	VHA substance use disorder>MESH:D019966			tobacco>4097,Participants>9606,patients>9606	25727118
Succinate dehydrogenase>6390,SDHB>6390,SDHC>6391,SDHA>6389,SDH>6390	SDHA-deficient Renal Cell Carcinoma>MESH:D002292,SDH)-deficient renal cell carcinoma>MESH:D002292,RCC>MESH:D002292,SDH-deficient RCCs>No Data,renal tumors>MESH:D007680,Renal tumors>MESH:D007680,tumor>MESH:D009369,duct carcinoma>MESH:D021441,SDHB-deficient RCC>MESH:D002292			patients>9606,patient>9606	25724004
ALK>238,ROS1>6098,RET>5979,PDGFRB>5159,NTRK1>4914,EML4>27436	inflammatory myofibroblastic tumors>MESH:D009369,myofibroblastic tumors>MESH:D009369,lung cancer>MESH:D008175,fascicular>MESH:D002037,fusion abnormalities>MESH:D007714			patient>9606,children>9606	25723109
	implementation of breast cancer>MESH:D001943,Breast cancer>MESH:D001943,breast cancers>MESH:D001943,tumor>MESH:D009369,primary breast cancer>MESH:D001943,breast cancer>MESH:D001943,cancer>MESH:D009369			patients>9606,patient>9606	25722745
C-reactive protein>1401,X receptor>9213,retinoid X receptor>6256,RXR>6256,X receptor/RXR nuclear receptor>9213	obesity>MESH:D009765,cardiovascular disease>MESH:D002318,coronary artery disease>MESH:D003324,type 2 diabetes mellitus>MESH:D003924,hepatic steatosis>MESH:D005234				25722444
p53>7157,BRAF>673,CTNNB1>1499,FBXW7>55294,FGFR2>2263,FGFR3>2261,FOXL2>668,HRAS>3265,KRAS>3845,NRAS>4893,PIK3CA>5290,PPP2R1A>5518,PTEN>5728,ARID1a>8289	endometrial cancer>MESH:D016889,clear cell cancers>MESH:D009369,tumors>MESH:D009369			patients>9606	25720322
	hypercholesterolemia>MESH:D006937			patient>9606,patients>9606	25717413
	infertility>MESH:D007246,anomaly>MESH:D000014				25715542
AKT1>207,BRAF>673,MSI>5928,PIK3CA>5290,AKT>207,mTOR>2475,KRAS>3845,NRAS>4893,PTEN>5728,PRAS 40>84335,EGFR>1956,RAF>22882	Colorectal Carcinoma>MESH:D015179,colorectal carcinoma>MESH:D015179,tumor>MESH:D009369			patients>9606,patient>9606	25714871
				patients>9606,patient>9606	25711668
insulin>3630	Cerebral metabolism>MESH:D001928,traumatic brain injury>MESH:D001930,depressed>MESH:D003866,glycemia>No Data		lactate>MESH:D019344,[6,6-(2)H2]glucose>MESH:D005947,[3-(13)C]lactate>MESH:D019344,oxygen>MESH:D010100,(13)CO2>MESH:D002245,glucose>MESH:D005947,(13)C>MESH:C513342,Ra>MESH:D011883,esters>MESH:D004952,dextrose>MESH:D005947	patients>9606	25709562
BRAF>673,BRAF>109880	melanoma>MESH:D008545,melanomas>MESH:D008545,resistant tumors>MESH:D060467			patient>9606,patients>9606,mouse>10090	25705882
				patient>9606,patients>9606	25705726
	White HIV>MESH:D015658,AIDS>MESH:D000163,HIV>MESH:D015658			patient>9606,patients>9606,persons>9606	25704910
STK11>6794,KRAS>3845,liver kinase B1>6794,LKB1>6794,epidermal growth factor receptor>1956,ALK>238	lung adenocarcinoma adrenal metastases>MESH:D009362,tumor>MESH:D009369,lung adenocarcinoma>MESH:C538231,adenocarcinoma>MESH:D000230,metastases>MESH:D009362,tumors>MESH:D009369		serine>MESH:C047902,threonine>MESH:C061951,tyrosine>No Data	patients>9606	25695224
				patient>9606,patients>9606	25680489
SCC>6317	Squamous Cell Lung Cancer>MESH:D018307,squamous cell carcinoma>MESH:D002294,Cancer>MESH:D009369,molecular abnormalities>MESH:D030342		S1400>MESH:C561963		25680375
	lung cancer>MESH:D008175			patients>9606,patient>9606	25674715
EGFR>1956,KRAS>3845,NRAS>4893,HRAS>3265,BRAF>673,PIK3CA>5290,AKT>207,PTEN>5728,ERBB2>2064,KIT>3815,PDGFRA>5156,ALK>238	thoracic malignancies>MESH:D013899,non-small-cell lung cancer>MESH:D002289,NSCLC>MESH:D002289,small-cell lung cancer>MESH:D055752,thymic malignancies>MESH:D013953,tumors>MESH:D009369,genetic abnormalities>MESH:D030342,malignancies>MESH:D009369		erlotinib>MESH:C400278,selumetinib>MESH:C517975,lapatinib>MESH:C490728,sunitinib>MESH:C473478	PATIENTS>9606,patients>9606,Patients>9606	25667274
KRAS>3845,epidermal growth factor receptor>1956,EGFR>1956,NRAS>4893	colorectal cancer>MESH:D015179			patients>9606	25663616
	cancer>MESH:D009369,cancer hallmark>MESH:D009369				25661093
p53>7157,TP53>7157,CTNNB1>1499,IDH1>3417	gastroesophageal junction>MESH:D008309,gastric carcinomas>MESH:D013274,Adenocarcinomas of both the gastroesophageal junction>MESH:D008309,gastric adenocarcinoma>MESH:D013274,Gastroesophageal junction carcinomas>MESH:D008309,gastroesophageal junction carcinomas>MESH:D008309,APC>MESH:D011125,gastric carcinoma>MESH:D013274,adenocarcinomas>MESH:D000230		formalin>MESH:D005557		25656989
FGFR2>2263,EGFR>1956,HER2>2064,VEGF>7422,PI3>5266,AKT>207,mTOR>2475	bladder cancer>MESH:D001749,aggressive malignancy>MESH:D001523,advanced disease>MESH:D020178,tumors>MESH:D009369		platinum>MESH:D010984,Cisplatin>MESH:D002945,carboplatin>MESH:D016190,cisplatin>MESH:D002945,gemcitabine>MESH:C056507,methotrexate>MESH:D008727,vinblastine>MESH:D014747,doxorubicin>MESH:D004317,taxane>MESH:C080625	patients>9606	25648542
	bleeding>MESH:D006470,coronary artery disease>MESH:D003324			patients>9606	25645583
				patient>9606,patients>9606	25644280
	cancer>MESH:D009369,tumor>MESH:D009369				25642706
				patients>9606	25640276
	cancer>MESH:D009369,cancers>MESH:D009369,myeloma>MESH:D009101,multiple myeloma>MESH:D009101			patient>9606,patients>9606	25638213
	genetic disorders>MESH:D030342			participants>9606,patients>9606,mammalian>9606	25637381
	death>MESH:D003643,Maternal death>MESH:D063130,MDR implementation>MESH:D018088,haemorrhage>MESH:D006470,hypertensive disorders>MESH:D006973,sepsis>MESH:D018805				25636651
	head and neck cancer>MESH:D006258,head and neck cancers>MESH:D006258				25632320
IGF2>3481,EGFR>1956,epidermal growth factor receptor>1956,insulin-like growth factor 2>3481	colorectal cancer>MESH:D015179,tumor>MESH:D009369			patients>9606,patient>9606	25632036
	cancer>MESH:D009369,malignant disease>No Data,solid tumours>MESH:D009369,cancers>MESH:D009369				25631473
	solid tumors>MESH:D009369,cancer>MESH:D009369,tumor>MESH:D009369		formalin>MESH:D005557	patients>9606	25626406
	dissemination of rectal cancer>MESH:D012004,rectal cancer>MESH:D012004,tumors>MESH:D009369,hypoxic>MESH:D000860,hallmark of the tumor>MESH:D009369,tumor>MESH:D009369		phosphatidylinositol>MESH:D010716,tyrosine>No Data	patient>9606,patients>9606	25624177
	Epstein-Barr virus-positive gastric adenocarcinoma>MESH:D020031,gastric adenocarcinomas>MESH:D013274,tumor>MESH:D009369,gastric cancer>MESH:D013274,cancers>MESH:D009369,cancer>MESH:D009369,GastroGenus Gastric Cancer>MESH:D013274		formalin>MESH:D005557	EBV>10376,Patients>9606,human>9606,patients>9606	25613731
	hemorrhage>MESH:D006470		PPH>MESH:C423404		25609355
FGFR2>2263,PPHLN1>51535,ARAF>369,hepatocellular carcinoma (HCC); 1>84324,IDH1/2>3417;3418,KRAS>3845,BRAF>673,FGF19>9965	intrahepatic cholangiocarcinoma>MESH:C535533,Intrahepatic cholangiocarcinoma>MESH:C535533,bile duct cancer>MESH:D001650,primary liver tumours>MESH:D008113			patients>9606	25608663
CYP2D6>1565,HLA-A>3105				patient>9606	25901276
IGF2>3481,PEG1>4232,MEST>4232,MEG3>55384,dL Pb>35047,NNAT>4826,PEG3>5178,PLAGL1>5325,SGCE>8910,PEG10>23089	embryonic kidney>MESH:D007674		lead acetate>MESH:C008261,Pb>MESH:D007854,bisulfite>MESH:C042345	human>9606	25596546
BRAF>673	cancer>MESH:D009369,melanoma>MESH:D008545,genomic abnormalities>MESH:D042822,tumor>MESH:D009369			patients>9606,patient>9606	25593991
				patient>9606,patients>9606	25593570
MED12>9968,mediator complex subunit 12>9968,p53>7157,TP53>7157,RB1>5925,neurofibromin 1>4763,NF1>4763,IGF1R>3480,EGFR>1956	Phyllodes Tumors>MESH:D003557,tumors>MESH:D009369,fibroepithelial tumors>MESH:D018225,breast neoplasms>MESH:D061325,tumor initiation>MESH:D009369,tumor suppressors retinoblastoma>MESH:D012175,malignant tumors>MESH:D009369,tumor>MESH:D009369,phyllodes tumors>MESH:D003557,malignant disease>No Data		formalin>MESH:D005557	patient>9606,human>9606	25593300
	tumor>MESH:D009369,tumors>MESH:D009369,CMS>MESH:C536089				25592568
	disability>MESH:D009069			patients>9606,patient>9606,human>9606,Participant>9606	25589910
	HIT>MESH:D013921,HIT innovations>MESH:D013921				25589909
	lung tumors>MESH:D008175,Lung cancer>MESH:D008175,lung adenocarcinoma>MESH:C538231,lung cancer>MESH:D008175			patients>9606	25586764
TP53>7157,P53>7157,ARID1A>8289,AT rich interactive domain 1A>8289,NRG1>3084,neuregulin-1>3084,ERBB4>2066,BRCA2>675,breast cancer 2>675	gastric adenocarcinoma>MESH:D013274,Gastric cancer>MESH:D013274,tumors>MESH:D009369,metastases>MESH:D009362,tumor>MESH:D009369,genetic defects>MESH:D030342,leukemia>MESH:D007938		HiC>MESH:C471213	patients>9606	25583476
	lung cancer>MESH:D008175,non-small-cell lung cancers>MESH:D002289,NSCLCs>MESH:D002289,tumor>MESH:D009369		tyrosine>No Data		25580159
	tumor>MESH:D009369,cancer>MESH:D009369			patients>9606,patient>9606	25579085
	wellness and disease>MESH:C536693,wellness to early disease>MESH:C536693,back>MESH:D001416			Person>9606,gut microbiome>749906,people>9606	25575752
	cancer>MESH:D009369		PDX>MESH:C113421	patients>9606,human>9606,patient>9606	25573920
	alarm fatigue>MESH:D005221			patient>9606,patients>9606	25571296
	ventricular tachycardia alarms>MESH:D017180,Ventricular tachycardia>MESH:D017180		MIMIC-II>MESH:C082026		25570734
EGFR>1956,ERBB2>2064,KRAS>3845,NRAS>4893,BRAF>673,MAP2K1>5604,PIK3CA>5290,AKT1>207,ALK>238,ROS1>6098,RET>5979,SOCS5>9655,HIP1>3092,CD74>972,KIF5B>3799,CCDC6>8030	Adenocarcinomas>MESH:D000230,tumors>MESH:D009369,lung adenocarcinoma>MESH:C538231,lung cancers>MESH:D008175,lung adenocarcinomas>MESH:C538231			patients>9606	25567908
	oesophageal and gastric cancer>MESH:D013274,oesophageal cancer>MESH:D009369,gastric cancer>MESH:D013274,cancer>MESH:D009369,gastro-oesophageal cancer>MESH:D005764			patients>9606	25565040
	tumors>MESH:D009369,cancer>MESH:D009369,tumor>MESH:D009369		formalin>MESH:D005557	patient>9606	25562415
			DTC-and-Me:>MESH:C016571	Patient>9606,patients>9606	25562144
ATR>545,ATM>472,Ataxia telangiectasia mutated>472	ovarian>MESH:D010049,cancer>MESH:D009369,cancers>MESH:D009369,endometrial and cervical cancer>MESH:D016889		platinum>MESH:D010984	human>9606	25560806
ROS1>6098,anaplastic lymphoma kinase>238,ALK>238	NSCLC>MESH:D002289,Choroidal metastases>MESH:D009362,non-small cell lung cancer>MESH:D002289,choroidal metastases>MESH:D009362		crizotinib>MESH:C551994,tyrosine>No Data	patient>9606,patients>9606	25558789
	squamous cell lung cancer>MESH:D018307,NSCLC>MESH:D002289,lung adenocarcinoma>MESH:C538231,tumor>MESH:D009369			patients>9606	25557559
microRNA-34a>407040,MicroRNA-34a>407040,miR-34a>407040	tumor>MESH:D009369,bladder cancer>MESH:D001749,Bladder cancer>MESH:D001749,cancer>MESH:D009369,urothelial carcinoma>MESH:D014523,invasive tumors>MESH:D009361,carcinoma>MESH:D002277,tumors>MESH:D009369			men>9606,patients>9606,Patients>9606	25556547
	obesity>MESH:D009765		sugar>MESH:D002241	children>9606	25551182
PHM>5066					28664161
	thyroid cancer>MESH:D013964,thyroid cancers>MESH:D013964,papillary thyroid cancer>MESH:C536915,follicular thyroid cancer>MESH:C572845,undifferentiated thyroid cancer>MESH:D013964,occult papillary thyroid cancer>MESH:C536915,tumour>MESH:D009369		iodine>MESH:D007455,radioiodine>No Data		27188261
	Fatigue>MESH:D005221,cardiac ICU>MESH:D006331,alarm fatigue>MESH:D005221,decrease alarm fatigue>MESH:D005221			Patient>9606,patients>9606	27025940
Prostate-specific antigen (PSA)>354,PSA>354	prostate cancer>MESH:D011471,decline in prostate cancer>MESH:D011471,tumors>MESH:D009369,prostate tumors>MESH:D011471,tumor>MESH:D009369,aggressive tumors>MESH:D001523				25548544
			Re>MESH:D012211	participants>9606,participant>9606	25539799
ERBB2>2064,EGFR>1956	tumor>MESH:D009369,Cancer>MESH:D009369		lapatinib>MESH:C490728,erlotinib>MESH:C400278	PATIENTS>9606,patients>9606,patient>9606	25538175
	respiratory depression>MESH:D012131,death>MESH:D003643,brain damage>MESH:D001925,pain>MESH:D010146,Somnolence>MESH:D006970			patient>9606,patients>9606	25536092
BCL2>596,MYC>4609,TdT>1791,Bcl6>604,Pax-5>5079,Bcl2>596,CD10>4311,CD79B>974,CCND3>896,CDK12>51755	follicular lymphoma>MESH:D008224,aggressive malignancy>MESH:D001523,B cell lymphoma>MESH:D016393,B-lymphoblastic leukemia/lymphoma>MESH:D015452,lymphoma>MESH:D008223			patients>9606	25529125
CTNNB1>1499	hepatocellular carcinoma>MESH:D006528,cancer>MESH:D009369,liver cancer>MESH:D006528,Hepatitis B-viral infection>MESH:D006525,tumor>MESH:D009369				25521761
	water damage>MESH:D014869				25515546
	disability>MESH:D009069			patients>9606	25504484
				children>9606,Children>9606,child>9606	25504355
BRCA1>672,TP53>7157,CDKN2A>1029,MSH2>4436,MUTYH>4595,CHEK2>11200,ATM>472	breast cancer>MESH:D001943,cancer>MESH:D009369			patients>9606,patient>9606	25503501
MYC>4609,LYN>4067	tumor>MESH:D009369,tumors>MESH:D009369,dependencies>MESH:D000437,cancer>MESH:D009369,breast cancer>MESH:D001943		dasatinib>MESH:C488369	patient>9606	25501949
	autosomal recessive Mendelian disorders>MESH:D030342			Human>9606,human>9606	25497971
apolipoproteins A-I>335,Apo A-I) and B>335,Apo B>338,Apo A-I>335			ISO 15189>MESH:D007545	patient>9606	25494833
GATA2>2624,steroid receptor coactivator>10011,androgen receptor>367,AR>367,GATA-binding protein 2>2624	prostate cancer>MESH:D011471		abiraterone>MESH:C089740,enzalutamide>MESH:C540278,androgen>MESH:D000728,steroid>MESH:D013256	patient>9606,patients>9606	25489091
			CO>MESH:D002245		25470438
ACR>49				patient>9606	25467895
	Congestive Heart Failure>MESH:D006333,CHF>MESH:D006333			patient>9606,patients>9606	25445924
KRAS>3845,BRAF>673,TP53>7157,PTEN>5728,ERBB2>2064,EGFR>1956	cancer>MESH:D009369,genetic aberrations>MESH:D030342,tumor>MESH:D009369,tumors>MESH:D009369			patient>9606	25445215
	Breast Cancer>MESH:D001943,tumor>MESH:D009369,cancer>MESH:D009369,breast cancer>MESH:D001943				25431637
	hallmark of cancer>MESH:D009369,tumor>MESH:D009369,non-tumor>MESH:C580335				25428359
	tumor>MESH:D009369,malignancies>MESH:D009369,tumors>MESH:D009369,malignancy>MESH:D009369				25424571
	tumors>MESH:D009369,tumor>MESH:D009369		formalin>MESH:D005557,uracil>MESH:D014498,thymine>MESH:D013941,cytosine>MESH:D003596		25421801
			CoH>MESH:D006859	participants>9606	25421566
	rheumatic disease>MESH:D012216,chronic disease>MESH:D002908,low disease>MESH:D009800			patients>9606,patient>9606,Patient>9606	25417958
	CAHPS>No Data			patients>9606,patient>9606	25416601
				patient>9606,patients>9606	25415121
	HGMD>No Data			Human>9606	25414276
				patient>9606,patients>9606	25407783
				maize>4577,Maize>4577,wheat>4565,rice>4530	25401749
	cardiomyopathy>MESH:D009202,colorectal cancer>MESH:D015179			patients>9606,patient>9606	25394171
	HIV epidemic>MESH:D004671,HIV infections>MESH:D015658,AIDS>MESH:D000163			persons>9606	25393996
Pten>19211,p53>22060,PTEN>5728,TP53>7157	prostate cancer>MESH:D011471,prostate tumors>MESH:D011471,tumors>MESH:D009369,prostate tumor>MESH:D011471,tumor>MESH:D009369,late-stage prostate cancer>MESH:D011471		Met>MESH:C034758	human>9606,mouse>10090,mice>10090,murine>10090	25381262
Epidermal growth factor receptor>1956,EGFR>1956,DDR2>4921	non-small cell lung cancer>MESH:D002289,cancer>MESH:D009369,white lung cancer>MESH:D008175,NSCLC>MESH:D002289,tumor>MESH:D009369			patients>9606,women>9606	25376516
				people>9606	25367986
EGFR>1950,ALK>238,KRAS>3845,epidermal growth factor>1950,anaplastic lymphoma kinase>238	NSCLC>MESH:D002289,cancer>MESH:D009369,adenocarcinoma>MESH:D000230,non-small cell lung cancer>MESH:D002289			patients>9606,patient>9606	25364578
TAZ>6901	breast cancer>MESH:D001943,tumor>MESH:D009369,breast cancer tumor>MESH:D001943		tyrosine>No Data,Dasatinib>MESH:C488369		25361000
	diabetes>MESH:D003920		glucose>MESH:D005947	patient>9606,people>9606,person>9606	25355715
				PARTICIPANTS>9606	25355089
	ESRD>MESH:D007676			patient>9606	25352380
				participants>9606,patient>9606	25348616
KRAS>3845,epidermal growth factor receptor>1956,BRAF>673	non-small cell lung cancer>MESH:D002289,multiple cancer>MESH:D009369,NSCLC>MESH:D002289,tumor>MESH:D009369		formalin>MESH:D005557,paraffin>MESH:D010232,phosphatidylinositol-4,5-bisphosphate>MESH:C106336	patients>9606	25345567
ERBB2>2064,PIK3CA>5290,EGFR>1956,ERBB3>2065	salivary duct carcinoma>MESH:D012465,Salivary duct carcinoma>MESH:D012465,salivary gland cancers>MESH:D012468,tumor>MESH:D009369,cancer>MESH:D009369,tumors>MESH:D009369		SDC>MESH:C508241	patients>9606	25343854
	cancer>MESH:D009369,tumors>MESH:D009369			human>9606	25340932
	alarm fatigue>MESH:D005221,fatigue>MESH:D005221,arrhythmia alarms>MESH:D001145,arrhythmia>MESH:D001145,atrial fibrillation>MESH:D001281,false arrhythmia alarms>MESH:D001145,bundle branch block>MESH:D002037,ventricular tachycardia alarms>MESH:D017180,algorithm deficiencies>No Data,Atrial fibrillation alarms>MESH:D001281		SpO(2)>MESH:C064029	patients>9606,patient>9606,humans>9606	25338067
echinoderm microtubule-associated protein like 4>27436,EML4>27436,anaplastic lymphoma kinase>238,ALK>238,Eml4>78798,Alk>11682,Eml4>27436,Alk>238	cancers>MESH:D009369,non-small cell lung cancers>MESH:D002289,NSCLC>MESH:D002289,lung cancer>MESH:D008175,tumours>MESH:D009369			human>9606,mice>10090,mouse>10090	25337876
	tumors of the gastrointestinal tract>MESH:D005770,cancer>MESH:D009369,cancers>MESH:D009369,pancreas>MESH:D010190,gastrointestinal cancers>MESH:D005770,gastrointestinal cancer>MESH:D005770			patient>9606,patients>9606	25333834
	intellectual disability>MESH:D008607,autism spectrum disorders>MESH:D002659,ASD>MESH:D001321,congenital anomalies>MESH:D000013			patients>9606,children>9606,patient>9606	25333781
	cardiac diseases>MESH:D006331,neurodegenerative diseases>MESH:D019636,Alzheimer's disease>MESH:D000544				25333069
FBN1>2200	genetic disorders>MESH:D030342,system dysfunction>MESH:D004700,uniparental disomy>MESH:D024182			patients>9606,PATIENTS>9606,patient>9606	25326635
	implementation timeliness>No Data			patient>9606,patients>9606	25324556
	CAD>No Data				25314696
	Narcissistic personality disorder>MESH:D010554,narcissistic personality disorder>MESH:D010554,NPD>No Data				25314234
				Participants>9606,participants>9606	25313897
	anxiety>MESH:D001008				25310224
	congenital heart disease>MESH:D006331,congenital heart center>MESH:D006330,Tachyarrhythmia>MESH:D013610,tachyarrhythmia>MESH:D013610		Medtronic>MESH:D001418	patients>9606,patient>9606	25304681
	SID>MESH:D013398			child>9606	25298806
HCP5>10866,HLA Complex P5>10866	AIDS>MESH:D000163			varicella zoster virus>10335,VZV>10335,chicken>9031,participants>9606,people>9606	25297839
	diabetes>MESH:D003920,Diabetes>MESH:D003920			patients>9606,Participants>9606	25282327
NOTCH1>4851,AKT>207	T-cell acute lymphoblastic leukemia>MESH:D054218,Cancer>MESH:D009369,cancer>MESH:D009369,lymphoblastic leukemia>MESH:D054198,leukemia>MESH:D007938			zebrafish>7955,patient>9606,murine>10090,human>9606,child>9606	25281505
EGFR>1956,PIK3CA>5290,p110alpha>5290,p85>5295,AKT1>207	cancer>MESH:D009369,tumor>MESH:D009369				25277176
TP53>7157,FAT1>2195,CASP8>841,NOTCH1>4851,PIK3CA>5290,HRAS>3265,PTEN>5728,SMAD4>4089,TGF-beta>7040,EP300>2033,MLL1>4297,MLL2>9757,MLL3>58508,KDM6A>7403,KDM6B>23135	cancer>MESH:D009369,neck squamous cell carcinoma>MESH:C535575,papillomavirus (HPV) infection>MESH:D030361,tumor>MESH:D009369,HNSCC initiation>MESH:C535575,tumors>MESH:D009369			HPV>10566	25275298
	postoperative nausea and vomiting>MESH:D020250			patient>9606,patients>9606	25274048
RAF>22882,BRAF>673,RAF1>5894,CRAF>5894,SND1>27044,MEK>5609,PARP>142	pancreatic acinar cell carcinomas>MESH:D010190,Pancreatic acinar cell carcinomas>MESH:D010190,pancreatic cancer>MESH:D010190,tumors>MESH:D009369,pancreatic cancers>MESH:D010190		trametinib>MESH:C560077,platinum>MESH:D010984		25266736
	chronic disease>MESH:D002908,sclerosis>MESH:D012598,multiple sclerosis>MESH:D009103			patients>9606	25263997
	breast cancer>MESH:D001943,tumors>MESH:D009369,breast carcinoma>MESH:D001943,breast cancers>MESH:D001943,breast tumors>MESH:D061325,tumor>MESH:D009369			human>9606	25263303
PAK4>10298	cancer>MESH:D009369,tumor>MESH:D009369				25256751
	obesity>MESH:D009765,obesity education>MESH:D009765			patients>9606	25253226
	psychosis>MESH:D011605,Psychotic disorders>MESH:D011605			patient>9606,people>9606,patients>9606,Patients>9606	25249985
p53>7157,NF1>4763,mammalian target of rapamycin>2475	malignant glioma>MESH:D005910,malignant gliomas>MESH:D005910,glioma>MESH:D005910,tumor>MESH:D009369			human>9606	25246577
WNT1>7471,PDGFA>5154,OGG1>4968	Squamous Cell Carcinoma>MESH:D002294,head and neck cancer>MESH:D006258,malignancies>MESH:D009369,NGS>No Data,squamous cell carcinoma>MESH:D002294,cancer>MESH:D009369,tumor>MESH:D009369		Formalin>MESH:D005557,formalin>MESH:D005557	patients>9606,Human>9606	25236499
EGFR>1956,TP53>7157,STK11>6794,PIK3CA>5290,BRAF>673,NRF2>4780,KRAS>3845,p53>7157,HER2>2064	Tongue carcinoma>MESH:D014062,squamous cell carcinomas>MESH:D002294,head and neck cancers>MESH:D006258,tumors>MESH:D009369,tumor>MESH:D009369,tumours>MESH:D009369,cancer>MESH:D009369			patients>9606	25234657
	spinal cord injury>MESH:D013119			PARTICIPANTS>9606,patients>9606	25229739
	cancer>MESH:D009369			patients>9606,children>9606	25228562
