FIPS,State,"County, State",2010 Food Insecurity Rate, Number of Food Insecure Persons in 2010 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2010 Child food insecurity rate, Number of Food Insecure Children in 2010  ,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL, 2010 Cost Per Meal , 2010 Weighted Annual Food Budget Shortfall ,
48377,TX,"Presidio County, Texas",22.3%," 1,720 ",165.0%,SNAP,185.0%,Other Nutrition Program,86.0%,14.0%,0.0%,36.2%, 830 ,70%,30%, $2.59 ," $766,800 ",
48379,TX,"Rains County, Texas",17.8%," 1,940 ",165.0%,SNAP,185.0%,Other Nutrition Program,55.7%,10.5%,33.8%,23.7%, 560 ,71%,29%, $2.64 ," $881,580 ",
48381,TX,"Randall County, Texas",13.8%," 16,090 ",165.0%,SNAP,185.0%,Other Nutrition Program,47.0%,6.9%,46.1%,19.6%," 5,590 ",54%,46%, $2.36 ," $6,536,180 ",
48383,TX,"Reagan County, Texas",11.6%, 380 ,165.0%,SNAP,185.0%,Other Nutrition Program,53.6%,9.1%,37.3%,20.3%, 210 ,48%,52%, $2.66 ," $173,990 ",
48385,TX,"Real County, Texas",18.3%, 600 ,165.0%,SNAP,185.0%,Other Nutrition Program,80.1%,10.1%,9.8%,30.9%, 240 ,70%,30%, $2.31 ," $238,570 ",
48387,TX,"Red River County, Texas",22.3%," 2,890 ",165.0%,SNAP,185.0%,Other Nutrition Program,62.2%,7.4%,30.4%,26.4%, 750 ,81%,20%, $2.64 ," $1,313,280 ",
48389,TX,"Reeves County, Texas",19.3%," 2,570 ",165.0%,SNAP,185.0%,Other Nutrition Program,83.7%,8.6%,7.6%,36.9%," 1,140 ",67%,33%, $2.43 ," $1,074,970 ",
48391,TX,"Refugio County, Texas",15.8%," 1,180 ",165.0%,SNAP,185.0%,Other Nutrition Program,63.6%,10.3%,26.1%,26.3%, 460 ,64%,36%, $2.02 ," $410,290 ",
48393,TX,"Roberts County, Texas",15.3%, 130 ,165.0%,SNAP,185.0%,Other Nutrition Program,54.9%,4.3%,40.8%,25.2%, 50 ,55%,46%, $2.34 ," $52,360 ",
48395,TX,"Robertson County, Texas",21.6%," 3,580 ",165.0%,SNAP,185.0%,Other Nutrition Program,64.0%,5.8%,30.3%,27.4%," 1,170 ",79%,21%, $2.73 ," $1,682,290 ",
48397,TX,"Rockwall County, Texas",14.6%," 10,730 ",165.0%,SNAP,185.0%,Other Nutrition Program,30.9%,5.8%,63.3%,19.4%," 4,210 ",41%,59%, $2.43 ," $4,488,090 ",
48399,TX,"Runnels County, Texas",18.9%," 1,980 ",165.0%,SNAP,185.0%,Other Nutrition Program,72.0%,9.6%,18.4%,30.9%, 780 ,69%,31%, $2.41 ," $821,370 ",
48401,TX,"Rusk County, Texas",18.4%," 9,570 ",165.0%,SNAP,185.0%,Other Nutrition Program,49.6%,8.9%,41.6%,21.9%," 2,650 ",76%,25%, $2.35 ," $3,871,110 ",
48403,TX,"Sabine County, Texas",25.2%," 2,690 ",165.0%,SNAP,185.0%,Other Nutrition Program,62.6%,9.7%,27.6%,31.0%, 610 ,84%,16%, $2.53 ," $1,171,460 ",
48405,TX,"San Augustine County, Texas",25.7%," 2,310 ",165.0%,SNAP,185.0%,Other Nutrition Program,72.7%,5.4%,22.0%,30.4%, 580 ,89%,11%, $2.67 ," $1,061,640 ",
48407,TX,"San Jacinto County, Texas",20.9%," 5,420 ",165.0%,SNAP,185.0%,Other Nutrition Program,56.0%,7.0%,37.0%,27.3%," 1,730 ",68%,32%, $2.63 ," $2,453,640 ",
48409,TX,"San Patricio County, Texas",17.3%," 11,410 ",165.0%,SNAP,185.0%,Other Nutrition Program,63.3%,9.8%,26.9%,29.7%," 5,460 ",60%,40%, $2.16 ," $4,242,240 ",
48411,TX,"San Saba County, Texas",19.0%," 1,150 ",165.0%,SNAP,185.0%,Other Nutrition Program,59.0%,5.4%,35.6%,35.1%, 430 ,62%,38%, $2.72 ," $538,420 ",
48413,TX,"Schleicher County, Texas",14.9%, 500 ,165.0%,SNAP,185.0%,Other Nutrition Program,59.1%,6.9%,34.0%,24.3%, 250 ,55%,45%, $2.70 ," $232,380 ",
48415,TX,"Scurry County, Texas",16.3%," 2,700 ",165.0%,SNAP,185.0%,Other Nutrition Program,55.8%,7.7%,36.5%,26.5%," 1,070 ",67%,33%, $2.41 ," $1,120,050 ",
48417,TX,"Shackelford County, Texas",14.9%, 470 ,165.0%,SNAP,185.0%,Other Nutrition Program,69.9%,6.4%,23.8%,20.9%, 160 ,73%,27%, $2.68 ," $216,810 ",
48419,TX,"Shelby County, Texas",21.9%," 5,570 ",165.0%,SNAP,185.0%,Other Nutrition Program,70.1%,5.0%,24.9%,29.6%," 1,970 ",81%,19%, $2.36 ," $2,262,680 ",
48421,TX,"Sherman County, Texas",13.3%, 400 ,165.0%,SNAP,185.0%,Other Nutrition Program,65.9%,9.5%,24.6%,23.2%, 210 ,66%,34%, $2.71 ," $186,590 ",
48423,TX,"Smith County, Texas",19.2%," 38,980 ",165.0%,SNAP,185.0%,Other Nutrition Program,56.7%,6.1%,37.3%,23.4%," 12,130 ",73%,27%, $2.36 ," $15,834,690 ",
48425,TX,"Somervell County, Texas",15.9%," 1,300 ",165.0%,SNAP,185.0%,Other Nutrition Program,44.5%,4.6%,50.9%,23.9%, 510 ,47%,53%, $2.85 ," $637,740 ",
48427,TX,"Starr County, Texas",25.3%," 15,190 ",165.0%,SNAP,185.0%,Other Nutrition Program,100.0%,0.0%,0.0%,45.2%," 9,280 ",74%,26%, $2.36 ," $6,170,570 ",
48429,TX,"Stephens County, Texas",17.9%," 1,710 ",165.0%,SNAP,185.0%,Other Nutrition Program,69.0%,10.8%,20.2%,28.3%, 640 ,78%,22%, $2.40 ," $706,420 ",
48431,TX,"Sterling County, Texas",15.7%, 180 ,165.0%,SNAP,185.0%,Other Nutrition Program,60.2%,9.7%,30.1%,26.7%, 80 ,67%,34%, $2.31 ," $71,570 ",
48433,TX,"Stonewall County, Texas",15.3%, 220 ,165.0%,SNAP,185.0%,Other Nutrition Program,42.5%,4.6%,52.9%,19.5%, 60 ,39%,61%, $2.32 ," $87,850 ",
48435,TX,"Sutton County, Texas",13.3%, 560 ,165.0%,SNAP,185.0%,Other Nutrition Program,51.8%,11.2%,36.9%,22.3%, 260 ,35%,65%, $2.63 ," $253,510 ",
48437,TX,"Swisher County, Texas",15.6%," 1,220 ",165.0%,SNAP,185.0%,Other Nutrition Program,72.8%,13.4%,13.7%,22.0%, 440 ,89%,11%, $2.68 ," $562,800 ",
48439,TX,"Tarrant County, Texas",17.9%," 311,630 ",165.0%,SNAP,185.0%,Other Nutrition Program,53.1%,6.9%,40.0%,23.5%," 113,980 ",66%,34%, $2.32 ," $124,446,560 ",
48441,TX,"Taylor County, Texas",17.0%," 21,950 ",165.0%,SNAP,185.0%,Other Nutrition Program,60.0%,6.2%,33.9%,24.1%," 7,500 ",67%,33%, $2.23 ," $8,425,490 ",
48443,TX,"Terrell County, Texas",16.3%, 140 ,165.0%,SNAP,185.0%,Other Nutrition Program,76.1%,21.9%,2.0%,25.2%, 50 ,80%,20%, $2.30 ," $55,430 ",
48445,TX,"Terry County, Texas",16.2%," 2,020 ",165.0%,SNAP,185.0%,Other Nutrition Program,69.3%,8.1%,22.6%,26.5%, 850 ,70%,30%, $2.41 ," $837,960 ",
48447,TX,"Throckmorton County, Texas",15.0%, 270 ,165.0%,SNAP,185.0%,Other Nutrition Program,58.4%,14.2%,27.4%,23.6%, 90 ,62%,38%, $2.32 ," $107,820 ",
48449,TX,"Titus County, Texas",17.7%," 5,470 ",165.0%,SNAP,185.0%,Other Nutrition Program,74.7%,9.4%,15.9%,27.1%," 2,530 ",79%,21%, $2.24 ," $2,109,070 ",
48451,TX,"Tom Green County, Texas",15.9%," 17,190 ",165.0%,SNAP,185.0%,Other Nutrition Program,65.1%,10.4%,24.5%,26.0%," 6,600 ",68%,32%, $2.21 ," $6,539,190 ",
48453,TX,"Travis County, Texas",16.6%," 162,440 ",165.0%,SNAP,185.0%,Other Nutrition Program,58.0%,6.5%,35.5%,24.2%," 56,100 ",62%,38%, $2.36 ," $65,987,340 ",
48455,TX,"Trinity County, Texas",19.8%," 2,860 ",165.0%,SNAP,185.0%,Other Nutrition Program,56.1%,10.4%,33.5%,27.3%, 820 ,74%,26%, $2.56 ," $1,260,260 ",
48457,TX,"Tyler County, Texas",22.0%," 4,720 ",165.0%,SNAP,185.0%,Other Nutrition Program,59.0%,7.7%,33.3%,28.4%," 1,200 ",80%,20%, $2.35 ," $1,909,260 ",
48459,TX,"Upshur County, Texas",18.0%," 6,950 ",165.0%,SNAP,185.0%,Other Nutrition Program,56.7%,9.4%,33.9%,23.8%," 2,170 ",76%,24%, $2.38 ," $2,847,200 ",
48461,TX,"Upton County, Texas",13.8%, 450 ,165.0%,SNAP,185.0%,Other Nutrition Program,56.4%,8.6%,35.0%,24.2%, 180 ,61%,39%, $2.71 ," $209,910 ",
48463,TX,"Uvalde County, Texas",18.2%," 4,780 ",165.0%,SNAP,185.0%,Other Nutrition Program,86.2%,12.6%,1.2%,35.2%," 2,710 ",71%,29%, $2.13 ," $1,752,520 ",
48465,TX,"Val Verde County, Texas",17.0%," 8,160 ",165.0%,SNAP,185.0%,Other Nutrition Program,86.7%,12.7%,0.6%,32.7%," 4,670 ",68%,32%, $1.93 ," $2,710,840 ",
48467,TX,"Van Zandt County, Texas",17.4%," 9,100 ",165.0%,SNAP,185.0%,Other Nutrition Program,55.6%,8.5%,35.9%,23.4%," 2,960 ",65%,35%, $2.43 ," $3,806,300 ",
48469,TX,"Victoria County, Texas",16.1%," 13,860 ",165.0%,SNAP,185.0%,Other Nutrition Program,61.7%,9.9%,28.4%,27.3%," 6,240 ",63%,37%, $2.05 ," $4,890,720 ",
48471,TX,"Walker County, Texas",21.7%," 14,400 ",165.0%,SNAP,185.0%,Other Nutrition Program,46.1%,4.3%,49.6%,24.2%," 2,640 ",82%,18%, $2.29 ," $5,676,150 ",
48473,TX,"Waller County, Texas",21.4%," 8,740 ",165.0%,SNAP,185.0%,Other Nutrition Program,63.9%,5.6%,30.5%,28.1%," 2,810 ",74%,26%, $2.43 ," $3,655,720 ",
48475,TX,"Ward County, Texas",16.7%," 1,750 ",165.0%,SNAP,185.0%,Other Nutrition Program,67.3%,14.2%,18.5%,25.7%, 700 ,65%,35%, $2.57 ," $774,150 ",
48477,TX,"Washington County, Texas",18.5%," 6,100 ",165.0%,SNAP,185.0%,Other Nutrition Program,59.8%,5.8%,34.5%,21.9%," 1,610 ",81%,19%, $2.33 ," $2,446,480 ",
48479,TX,"Webb County, Texas",17.1%," 41,060 ",165.0%,SNAP,185.0%,Other Nutrition Program,97.3%,2.7%,0.0%,35.3%," 29,830 ",68%,32%, $1.93 ," $13,640,550 ",
48481,TX,"Wharton County, Texas",18.7%," 7,660 ",165.0%,SNAP,185.0%,Other Nutrition Program,63.4%,7.3%,29.3%,26.4%," 2,900 ",68%,32%, $2.21 ," $2,913,910 ",
48483,TX,"Wheeler County, Texas",14.8%, 780 ,165.0%,SNAP,185.0%,Other Nutrition Program,65.3%,5.7%,29.0%,22.0%, 290 ,61%,40%, $2.75 ," $369,220 ",
48485,TX,"Wichita County, Texas",18.4%," 24,080 ",165.0%,SNAP,185.0%,Other Nutrition Program,54.8%,7.6%,37.6%,24.1%," 7,240 ",71%,29%, $2.28 ," $9,450,330 ",
48487,TX,"Wilbarger County, Texas",18.5%," 2,520 ",165.0%,SNAP,185.0%,Other Nutrition Program,69.4%,5.9%,24.7%,27.3%, 890 ,81%,19%, $2.36 ," $1,023,690 ",
48489,TX,"Willacy County, Texas",23.8%," 5,190 ",165.0%,SNAP,185.0%,Other Nutrition Program,91.2%,8.8%,0.0%,41.5%," 2,480 ",68%,32%, $2.09 ," $1,867,110 ",
48491,TX,"Williamson County, Texas",14.6%," 57,030 ",165.0%,SNAP,185.0%,Other Nutrition Program,36.2%,6.6%,57.2%,20.0%," 22,430 ",45%,55%, $2.38 ," $23,363,400 ",
48493,TX,"Wilson County, Texas",14.0%," 5,770 ",165.0%,SNAP,185.0%,Other Nutrition Program,48.0%,9.1%,42.9%,22.5%," 2,470 ",47%,53%, $2.21 ," $2,194,950 ",
48495,TX,"Winkler County, Texas",15.6%," 1,080 ",165.0%,SNAP,185.0%,Other Nutrition Program,71.3%,19.5%,9.2%,25.7%, 510 ,66%,35%, $2.55 ," $474,050 ",
48497,TX,"Wise County, Texas",15.9%," 9,210 ",165.0%,SNAP,185.0%,Other Nutrition Program,48.9%,9.6%,41.6%,23.4%," 3,580 ",60%,40%, $2.36 ," $3,741,340 ",
48499,TX,"Wood County, Texas",18.2%," 7,580 ",165.0%,SNAP,185.0%,Other Nutrition Program,52.3%,8.0%,39.7%,26.7%," 2,180 ",66%,34%, $2.44 ," $3,183,570 ",
48501,TX,"Yoakum County, Texas",16.5%," 1,270 ",165.0%,SNAP,185.0%,Other Nutrition Program,71.4%,5.1%,23.5%,31.4%, 760 ,61%,39%, $2.78 ," $607,720 ",
48503,TX,"Young County, Texas",16.7%," 3,050 ",165.0%,SNAP,185.0%,Other Nutrition Program,63.0%,8.6%,28.4%,25.5%," 1,110 ",64%,36%, $2.36 ," $1,238,990 ",
48505,TX,"Zapata County, Texas",20.9%," 2,850 ",165.0%,SNAP,185.0%,Other Nutrition Program,94.6%,5.4%,0.0%,41.3%," 1,870 ",64%,36%, $2.82 ," $1,383,410 ",
48507,TX,"Zavala County, Texas",25.4%," 2,960 ",165.0%,SNAP,185.0%,Other Nutrition Program,98.1%,1.9%,0.0%,48.9%," 1,830 ",76%,24%, $1.80 ," $917,110 ",
49001,UT,"Beaver County, Utah",18.6%," 1,190 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.9%,25.8%,28.3%,25.5%, 550 ,71%,30%, $2.44 ," $499,800 ",
49003,UT,"Box Elder County, Utah",15.8%," 7,640 ",130.0%,SNAP,185.0%,Other Nutrition Program,32.1%,18.8%,49.1%,20.4%," 3,350 ",53%,47%, $2.46 ," $3,235,070 ",
49005,UT,"Cache County, Utah",15.3%," 16,340 ",130.0%,SNAP,185.0%,Other Nutrition Program,50.8%,20.0%,29.2%,18.7%," 6,180 ",62%,38%, $2.34 ," $6,581,480 ",
49007,UT,"Carbon County, Utah",16.3%," 3,390 ",130.0%,SNAP,185.0%,Other Nutrition Program,42.9%,21.3%,35.9%,21.4%," 1,150 ",55%,45%, $2.41 ," $1,406,280 ",
49009,UT,"Daggett County, Utah",14.8%, 120 ,130.0%,SNAP,185.0%,Other Nutrition Program,53.0%,15.2%,31.8%,15.2%, 20 ,84%,16%, $2.60 ," $53,700 ",
49011,UT,"Davis County, Utah",14.0%," 41,220 ",130.0%,SNAP,185.0%,Other Nutrition Program,26.4%,15.0%,58.6%,17.3%," 17,310 ",41%,60%, $2.37 ," $16,815,580 ",
49013,UT,"Duchesne County, Utah",15.9%," 2,760 ",130.0%,SNAP,185.0%,Other Nutrition Program,38.5%,22.1%,39.4%,19.3%," 1,130 ",56%,44%, $2.35 ," $1,116,430 ",
49015,UT,"Emery County, Utah",15.6%," 1,670 ",130.0%,SNAP,185.0%,Other Nutrition Program,40.3%,16.7%,43.0%,19.2%, 630 ,58%,42%, $2.58 ," $741,640 ",
49017,UT,"Garfield County, Utah",17.4%, 860 ,130.0%,SNAP,185.0%,Other Nutrition Program,44.3%,23.4%,32.3%,21.2%, 280 ,62%,39%, $2.61 ," $386,360 ",
49019,UT,"Grand County, Utah",18.2%," 1,640 ",130.0%,SNAP,185.0%,Other Nutrition Program,42.0%,23.1%,34.9%,23.3%, 440 ,67%,33%, $3.15 ," $889,220 ",
49021,UT,"Iron County, Utah",19.5%," 8,660 ",130.0%,SNAP,185.0%,Other Nutrition Program,55.1%,22.2%,22.7%,25.6%," 3,380 ",71%,29%, $2.41 ," $3,592,450 ",
49023,UT,"Juab County, Utah",17.6%," 1,740 ",130.0%,SNAP,185.0%,Other Nutrition Program,38.0%,23.3%,38.7%,21.5%, 790 ,63%,37%, $3.25 ," $973,390 ",
49025,UT,"Kane County, Utah",16.0%," 1,100 ",130.0%,SNAP,185.0%,Other Nutrition Program,37.2%,21.9%,40.8%,20.8%, 320 ,55%,45%, $2.81 ," $532,050 ",
49027,UT,"Millard County, Utah",15.2%," 1,850 ",130.0%,SNAP,185.0%,Other Nutrition Program,52.7%,25.9%,21.4%,20.3%, 800 ,71%,29%, $2.87 ," $913,920 ",
49029,UT,"Morgan County, Utah",13.0%," 1,170 ",130.0%,SNAP,185.0%,Other Nutrition Program,19.8%,23.4%,56.8%,15.1%, 470 ,46%,54%, $2.63 ," $529,660 ",
49031,UT,"Piute County, Utah",16.6%, 280 ,130.0%,SNAP,185.0%,Other Nutrition Program,45.1%,22.3%,32.6%,19.3%, 70 ,59%,41%, $2.61 ," $125,790 ",
49033,UT,"Rich County, Utah",13.6%, 300 ,130.0%,SNAP,185.0%,Other Nutrition Program,38.2%,25.7%,36.1%,17.1%, 100 ,85%,15%, $2.61 ," $134,780 ",
49035,UT,"Salt Lake County, Utah",14.9%," 148,630 ",130.0%,SNAP,185.0%,Other Nutrition Program,38.0%,18.3%,43.7%,19.6%," 56,220 ",52%,48%, $2.35 ," $60,121,520 ",
49037,UT,"San Juan County, Utah",23.4%," 3,340 ",130.0%,SNAP,185.0%,Other Nutrition Program,64.8%,16.7%,18.5%,30.5%," 1,480 ",75%,25%, $2.28 ," $1,310,800 ",
49039,UT,"Sanpete County, Utah",18.6%," 4,960 ",130.0%,SNAP,185.0%,Other Nutrition Program,49.6%,23.6%,26.8%,22.6%," 1,780 ",72%,28%, $2.43 ," $2,074,640 ",
49041,UT,"Sevier County, Utah",16.4%," 3,360 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.4%,22.6%,38.0%,20.5%," 1,270 ",63%,37%, $2.43 ," $1,405,400 ",
49043,UT,"Summit County, Utah",14.0%," 4,920 ",130.0%,SNAP,185.0%,Other Nutrition Program,29.4%,16.2%,54.5%,17.4%," 1,700 ",40%,60%, $2.98 ," $2,523,700 ",
49045,UT,"Tooele County, Utah",14.5%," 8,060 ",130.0%,SNAP,185.0%,Other Nutrition Program,29.3%,22.6%,48.1%,18.1%," 3,620 ",50%,50%, $2.51 ," $3,482,290 ",
49047,UT,"Uintah County, Utah",15.4%," 4,770 ",130.0%,SNAP,185.0%,Other Nutrition Program,35.0%,10.7%,54.3%,19.9%," 1,990 ",40%,60%, $2.46 ," $2,019,800 ",
49049,UT,"Utah County, Utah",15.9%," 77,220 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.0%,19.6%,37.4%,18.8%," 31,370 ",53%,47%, $2.34 ," $31,102,930 ",
49051,UT,"Wasatch County, Utah",15.1%," 3,340 ",130.0%,SNAP,185.0%,Other Nutrition Program,24.4%,15.9%,59.7%,18.8%," 1,420 ",33%,67%, $2.73 ," $1,569,510 ",
49053,UT,"Washington County, Utah",17.3%," 23,180 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.7%,27.2%,33.0%,22.5%," 9,110 ",68%,32%, $2.42 ," $9,655,710 ",
49055,UT,"Wayne County, Utah",17.1%, 460 ,130.0%,SNAP,185.0%,Other Nutrition Program,42.6%,28.7%,28.7%,20.1%, 160 ,70%,30%, $2.60 ," $205,870 ",
49057,UT,"Weber County, Utah",16.0%," 35,710 ",130.0%,SNAP,185.0%,Other Nutrition Program,40.7%,18.7%,40.6%,21.5%," 14,120 ",56%,44%, $2.31 ," $14,198,990 ",
50001,VT,"Addison County, Vermont",12.2%," 4,480 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",53.9%,N/A,46.1%,17.0%," 1,320 ",54%,46%, $3.35 ," $2,583,320 ",
50003,VT,"Bennington County, Vermont",12.9%," 4,790 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",61.3%,N/A,38.7%,20.4%," 1,540 ",63%,37%, $2.71 ," $2,234,400 ",
50005,VT,"Caledonia County, Vermont",13.7%," 4,290 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",65.7%,N/A,34.3%,19.5%," 1,320 ",68%,32%, $2.96 ," $2,185,770 ",
50007,VT,"Chittenden County, Vermont",11.5%," 17,740 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",48.8%,N/A,51.2%,16.1%," 5,030 ",42%,58%, $2.86 ," $8,733,240 ",
50009,VT,"Essex County, Vermont",16.0%," 1,020 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",77.1%,N/A,22.9%,24.5%, 310 ,70%,30%, $2.55 ," $447,710 ",
50011,VT,"Franklin County, Vermont",12.1%," 5,760 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",58.4%,N/A,41.6%,18.1%," 2,130 ",55%,46%, $2.91 ," $2,885,170 ",
50013,VT,"Grand Isle County, Vermont",11.7%, 830 ,185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",52.6%,N/A,47.4%,17.6%, 250 ,60%,40%, $2.54 ," $362,880 ",
50015,VT,"Lamoille County, Vermont",13.3%," 3,200 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",58.0%,N/A,42.0%,19.5%," 1,030 ",53%,47%, $3.14 ," $1,729,560 ",
50017,VT,"Orange County, Vermont",12.0%," 3,490 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",59.7%,N/A,40.3%,18.0%," 1,120 ",61%,39%, $3.23 ," $1,940,370 ",
50019,VT,"Orleans County, Vermont",15.2%," 4,150 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",70.7%,N/A,29.3%,21.1%," 1,210 ",72%,28%, $2.92 ," $2,085,870 ",
50021,VT,"Rutland County, Vermont",13.3%," 8,310 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",62.7%,N/A,37.3%,19.6%," 2,370 ",63%,37%, $2.99 ," $4,276,890 ",
50023,VT,"Washington County, Vermont",12.0%," 7,140 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",56.0%,N/A,44.0%,17.8%," 2,160 ",53%,47%, $3.19 ," $3,920,530 ",
50025,VT,"Windham County, Vermont",12.4%," 5,500 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",66.4%,N/A,33.6%,18.0%," 1,610 ",63%,37%, $3.09 ," $2,925,340 ",
50027,VT,"Windsor County, Vermont",11.8%," 6,720 ",185.0%,"SNAP, Other Nutrition Programs",185.0%,"SNAP, Other Nutrition Programs",57.5%,N/A,42.5%,17.5%," 2,000 ",51%,50%, $3.34 ," $3,863,420 ",
51001,VA,"Accomack County, Virginia",14.3%," 4,870 ",130.0%,SNAP,185.0%,Other Nutrition Program,51.8%,25.2%,23.0%,16.7%," 1,230 ",88%,12%, $2.49 ," $2,087,300 ",
51003,VA,"Albemarle County, Virginia",8.9%," 8,570 ",130.0%,SNAP,185.0%,Other Nutrition Program,34.7%,18.5%,46.8%,13.6%," 2,850 ",49%,52%, $2.64 ," $3,894,400 ",
51005,VA,"Alleghany County, Virginia",12.1%," 1,980 ",130.0%,SNAP,185.0%,Other Nutrition Program,40.7%,34.6%,24.8%,19.4%, 640 ,66%,34%, $2.35 ," $800,920 ",
51007,VA,"Amelia County, Virginia",12.8%," 1,610 ",130.0%,SNAP,185.0%,Other Nutrition Program,44.2%,20.7%,35.2%,13.9%, 400 ,75%,25%, $2.58 ," $714,990 ",
51009,VA,"Amherst County, Virginia",13.7%," 4,430 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.7%,19.3%,41.0%,17.0%," 1,150 ",61%,39%, $2.46 ," $1,875,830 ",
51011,VA,"Appomattox County, Virginia",14.5%," 2,130 ",130.0%,SNAP,185.0%,Other Nutrition Program,39.0%,19.7%,41.3%,18.1%, 570 ,62%,38%, $2.39 ," $876,260 ",
51013,VA,"Arlington County, Virginia",6.7%," 13,160 ",130.0%,SNAP,185.0%,Other Nutrition Program,32.6%,22.6%,44.7%,12.8%," 3,920 ",44%,57%, $3.18 ," $7,203,420 ",
51015,VA,"Augusta County, Virginia",9.7%," 7,090 ",130.0%,SNAP,185.0%,Other Nutrition Program,38.1%,29.5%,32.4%,17.6%," 2,740 ",61%,39%, $2.63 ," $3,209,650 ",
51017,VA,"Bath County, Virginia",9.7%, 460 ,130.0%,SNAP,185.0%,Other Nutrition Program,60.7%,20.9%,18.4%,22.8%, 180 ,73%,27%, $2.53 ," $200,320 ",
51019,VA,"Bedford County, Virginia",9.8%," 6,630 ",130.0%,SNAP,185.0%,Other Nutrition Program,38.3%,25.0%,36.6%,16.6%," 2,520 ",55%,45%, $2.64 ," $3,012,820 ",
51021,VA,"Bland County, Virginia",10.4%, 710 ,130.0%,SNAP,185.0%,Other Nutrition Program,38.2%,38.5%,23.2%,18.6%, 230 ,79%,21%, $2.66 ," $325,080 ",
51023,VA,"Botetourt County, Virginia",8.3%," 2,740 ",130.0%,SNAP,185.0%,Other Nutrition Program,28.9%,26.8%,44.3%,14.2%," 1,020 ",46%,54%, $2.67 ," $1,259,270 ",
51025,VA,"Brunswick County, Virginia",22.6%," 4,010 ",130.0%,SNAP,185.0%,Other Nutrition Program,43.9%,12.8%,43.3%,20.0%, 680 ,100%,0%, $2.48 ," $1,711,790 ",
51027,VA,"Buchanan County, Virginia",14.0%," 3,420 ",130.0%,SNAP,185.0%,Other Nutrition Program,60.4%,27.9%,11.7%,25.0%," 1,140 ",80%,20%, $2.49 ," $1,465,820 ",
51029,VA,"Buckingham County, Virginia",18.1%," 3,050 ",130.0%,SNAP,185.0%,Other Nutrition Program,29.0%,10.0%,61.0%,20.4%, 470 ,65%,35%, $2.58 ," $1,354,490 ",
51031,VA,"Campbell County, Virginia",12.1%," 6,570 ",130.0%,SNAP,185.0%,Other Nutrition Program,45.3%,25.9%,28.8%,17.1%," 2,000 ",70%,30%, $2.51 ," $2,838,540 ",
51033,VA,"Caroline County, Virginia",13.7%," 3,810 ",130.0%,SNAP,185.0%,Other Nutrition Program,28.5%,19.6%,51.9%,14.3%, 970 ,56%,44%, $2.63 ," $1,724,790 ",
51035,VA,"Carroll County, Virginia",14.1%," 4,230 ",130.0%,SNAP,185.0%,Other Nutrition Program,50.3%,31.5%,18.2%,23.3%," 1,390 ",71%,29%, $2.47 ," $1,798,430 ",
51036,VA,"Charles City County, Virginia",17.1%," 1,230 ",130.0%,SNAP,185.0%,Other Nutrition Program,38.8%,16.4%,44.8%,11.8%, 160 ,100%,0%, $2.53 ," $535,650 ",
51037,VA,"Charlotte County, Virginia",16.6%," 2,090 ",130.0%,SNAP,185.0%,Other Nutrition Program,46.2%,32.4%,21.4%,18.3%, 540 ,89%,11%, $2.47 ," $888,580 ",
51041,VA,"Chesterfield County, Virginia",10.5%," 32,420 ",130.0%,SNAP,185.0%,Other Nutrition Program,25.5%,18.6%,55.8%,13.2%," 10,630 ",51%,49%, $2.55 ," $14,230,130 ",
51043,VA,"Clarke County, Virginia",8.3%," 1,160 ",130.0%,SNAP,185.0%,Other Nutrition Program,29.6%,20.9%,49.5%,14.6%, 460 ,36%,64%, $2.80 ," $559,080 ",
51045,VA,"Craig County, Virginia",9.7%, 500 ,130.0%,SNAP,185.0%,Other Nutrition Program,29.6%,30.2%,40.2%,17.2%, 170 ,47%,53%, $2.78 ," $239,260 ",
